epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,784.621,1.07239,0.79037,1.15482,0.98434,0.97694,0.98755,0.70576,1.03661,0.51265,1.17043,0.000848969,0.000848969,0.000848969
43,803.352,1.08173,0.7515,1.15666,0.97192,0.98173,0.9903,0.73855,0.93698,0.49275,1.11731,0.000834822,0.000834822,0.000834822
44,822.053,1.07772,0.76538,1.15544,0.96781,0.96064,0.98344,0.71527,0.98914,0.52672,1.13904,0.000820675,0.000820675,0.000820675
45,840.612,1.08842,0.7622,1.16369,0.9839,0.98342,0.99092,0.70003,0.9923,0.52537,1.15934,0.000806528,0.000806528,0.000806528
46,859.165,1.07831,0.76733,1.16057,0.96119,0.97206,0.98226,0.7056,0.99985,0.53031,1.14893,0.00079238,0.00079238,0.00079238
47,878.129,1.08115,0.74408,1.16821,0.97555,0.97943,0.99041,0.71033,1.01902,0.50715,1.16177,0.000778233,0.000778233,0.000778233
48,896.921,1.05614,0.72948,1.12982,0.98775,0.98737,0.99184,0.71694,0.98634,0.48967,1.13046,0.000764086,0.000764086,0.000764086
49,915.561,1.04418,0.74073,1.14462,0.97284,0.98058,0.99003,0.733,0.97238,0.48271,1.14181,0.000749939,0.000749939,0.000749939
50,934.102,1.0713,0.72739,1.16038,0.9947,0.96815,0.98691,0.70544,0.97546,0.49695,1.15303,0.000735792,0.000735792,0.000735792
51,952.682,1.07712,0.75616,1.15622,0.98743,0.96351,0.98673,0.71542,0.97368,0.49099,1.14578,0.000721645,0.000721645,0.000721645
52,971.239,1.02482,0.72239,1.13989,0.98714,0.97143,0.99026,0.70241,1.02528,0.49473,1.16847,0.000707498,0.000707498,0.000707498
53,989.759,1.02599,0.70647,1.13733,0.9698,0.96807,0.98581,0.71847,0.96951,0.49591,1.13952,0.000693351,0.000693351,0.000693351
54,1008.43,1.05025,0.72488,1.14153,0.98532,0.97368,0.98767,0.70471,0.9989,0.49286,1.15176,0.000679204,0.000679204,0.000679204
55,1026.95,1.0303,0.67978,1.13545,0.98344,0.97162,0.98356,0.72233,0.9725,0.49226,1.1321,0.000665057,0.000665057,0.000665057
56,1045.74,1.03735,0.71326,1.13084,0.98679,0.97017,0.98585,0.72313,0.97721,0.48686,1.12615,0.000650909,0.000650909,0.000650909
57,1064.35,1.02208,0.69089,1.13868,0.98939,0.97015,0.98883,0.72225,0.99402,0.47578,1.13283,0.000636762,0.000636762,0.000636762
58,1083.03,1.03781,0.68357,1.1319,0.97125,0.97916,0.98878,0.71469,1.00361,0.49116,1.14764,0.000622615,0.000622615,0.000622615
59,1101.77,0.99137,0.66235,1.12123,0.98183,0.97192,0.98988,0.72629,0.97952,0.4605,1.13385,0.000608468,0.000608468,0.000608468
60,1120.34,1.02078,0.6777,1.12674,0.97499,0.97148,0.98175,0.71287,1.00047,0.48577,1.14117,0.000594321,0.000594321,0.000594321
61,1139.06,1.01196,0.66596,1.11954,0.98523,0.97333,0.98789,0.72588,0.98463,0.47336,1.13894,0.000580174,0.000580174,0.000580174
62,1157.88,1.00826,0.6685,1.12584,0.97925,0.96751,0.9867,0.73498,0.95334,0.47067,1.12462,0.000566027,0.000566027,0.000566027
63,1176.57,1.01136,0.67923,1.13117,0.98932,0.9738,0.99165,0.71069,0.98499,0.4741,1.14377,0.00055188,0.00055188,0.00055188
64,1195.21,1.00661,0.66952,1.11696,0.97236,0.97662,0.99079,0.72385,0.95914,0.46672,1.11804,0.000537733,0.000537733,0.000537733
65,1214.13,0.98824,0.64384,1.11926,0.96781,0.98371,0.99114,0.72127,0.9688,0.45672,1.1287,0.000523586,0.000523586,0.000523586
66,1232.98,0.97872,0.66404,1.10376,0.99465,0.96285,0.98764,0.72754,0.96354,0.4639,1.12855,0.000509438,0.000509438,0.000509438
67,1251.75,0.98274,0.65076,1.11237,0.99243,0.98515,0.99172,0.73016,0.95783,0.45441,1.11802,0.000495291,0.000495291,0.000495291
68,1270.42,0.97508,0.6419,1.10507,0.98955,0.96769,0.99158,0.72614,0.95023,0.4608,1.12621,0.000481144,0.000481144,0.000481144
69,1289.1,0.96626,0.63786,1.09702,0.9874,0.97192,0.9909,0.72603,0.95407,0.46787,1.12176,0.000466997,0.000466997,0.000466997
70,1307.68,0.97205,0.63279,1.11665,0.99192,0.98585,0.99171,0.72185,0.98819,0.4629,1.1345,0.00045285,0.00045285,0.00045285
71,1326.38,0.9739,0.6251,1.10579,0.99658,0.98442,0.99173,0.73652,0.9422,0.4512,1.10848,0.000438703,0.000438703,0.000438703
72,1344.98,0.93435,0.60634,1.08589,0.99683,0.98264,0.99194,0.74234,0.9537,0.45302,1.12173,0.000424556,0.000424556,0.000424556
73,1363.8,0.96453,0.63171,1.10487,0.97627,0.9889,0.99141,0.72067,0.97387,0.45416,1.12478,0.000410409,0.000410409,0.000410409
74,1382.38,0.95223,0.6197,1.09214,0.98645,0.98611,0.99173,0.73416,0.95813,0.45055,1.12432,0.000396262,0.000396262,0.000396262
75,1400.94,0.93856,0.60514,1.0996,0.9925,0.98341,0.99219,0.73666,0.95536,0.4486,1.12841,0.000382115,0.000382115,0.000382115
76,1419.58,0.92357,0.60064,1.09001,0.98388,0.97775,0.99054,0.7405,0.95642,0.45273,1.1337,0.000367967,0.000367967,0.000367967
77,1438.14,0.93355,0.6079,1.08293,0.98342,0.98144,0.99197,0.73464,0.96456,0.43128,1.13137,0.00035382,0.00035382,0.00035382
78,1456.78,0.92904,0.59933,1.09017,0.98657,0.98058,0.98823,0.74352,0.93091,0.44035,1.11346,0.000339673,0.000339673,0.000339673
79,1475.4,0.94493,0.59421,1.09191,0.99439,0.98264,0.99186,0.73762,0.97232,0.43849,1.12627,0.000325526,0.000325526,0.000325526
80,1493.95,0.94652,0.60305,1.09949,0.98781,0.98264,0.99143,0.73987,0.97624,0.44139,1.12253,0.000311379,0.000311379,0.000311379
81,1512.66,0.92956,0.60324,1.08244,0.99437,0.9869,0.99191,0.72847,0.97696,0.43116,1.12589,0.000297232,0.000297232,0.000297232
82,1531.32,0.90252,0.56944,1.0781,0.99408,0.98099,0.99153,0.73561,0.97263,0.43991,1.12345,0.000283085,0.000283085,0.000283085
83,1550.16,0.91853,0.59321,1.08906,0.99202,0.97419,0.99117,0.73477,0.95434,0.43112,1.11907,0.000268938,0.000268938,0.000268938
84,1569.04,0.91922,0.58046,1.08464,0.98534,0.9799,0.99165,0.75015,0.94221,0.42335,1.10327,0.000254791,0.000254791,0.000254791
85,1587.62,0.90699,0.57393,1.0771,0.98473,0.981,0.99064,0.73851,0.96619,0.4373,1.11534,0.000240644,0.000240644,0.000240644
86,1606.19,0.87948,0.56903,1.0645,0.98972,0.97766,0.99163,0.75195,0.9379,0.41921,1.1055,0.000226497,0.000226497,0.000226497
87,1624.86,0.90106,0.5728,1.07867,0.98813,0.98264,0.99059,0.73495,0.95305,0.42156,1.1138,0.000212349,0.000212349,0.000212349
88,1643.84,0.88473,0.55466,1.07059,0.99233,0.98264,0.99073,0.74806,0.94081,0.40888,1.11068,0.000198202,0.000198202,0.000198202
89,1662.59,0.89473,0.57184,1.06917,0.99153,0.98278,0.99187,0.74923,0.93532,0.41296,1.10038,0.000184055,0.000184055,0.000184055
