epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7277.53,0.85369,0.4961,1.07161,0.96133,0.93325,0.97362,0.85524,0.81032,0.36097,1.01686,0.005842,0.005842,0.005842
44,7447.46,0.85361,0.48742,1.07699,0.95798,0.92361,0.96818,0.85824,0.80738,0.36561,1.01718,0.005743,0.005743,0.005743
45,7617.09,0.84704,0.48756,1.07207,0.96932,0.92911,0.96997,0.85728,0.8066,0.35864,1.01423,0.005644,0.005644,0.005644
46,7787.15,0.84708,0.48313,1.07104,0.96749,0.92931,0.97008,0.86029,0.80746,0.35515,1.01419,0.005545,0.005545,0.005545
47,7955.89,0.8453,0.47908,1.06714,0.96727,0.92652,0.96722,0.85578,0.80098,0.36078,1.00759,0.005446,0.005446,0.005446
48,8125.31,0.84239,0.47921,1.06453,0.96415,0.94207,0.97284,0.85701,0.80083,0.34914,1.01134,0.005347,0.005347,0.005347
49,8294.44,0.83718,0.47801,1.06729,0.96133,0.94009,0.97125,0.86071,0.80071,0.35149,1.01153,0.005248,0.005248,0.005248
50,8463.46,0.8417,0.46847,1.06588,0.96281,0.93016,0.96927,0.85874,0.80469,0.35104,1.01293,0.005149,0.005149,0.005149
51,8632.69,0.83944,0.47048,1.0681,0.96233,0.93416,0.971,0.86323,0.79511,0.34661,1.00494,0.00505,0.00505,0.00505
52,8803.34,0.83145,0.46196,1.05914,0.96834,0.93429,0.9718,0.86734,0.79462,0.34272,1.00526,0.004951,0.004951,0.004951
53,8975.52,0.83101,0.45781,1.06123,0.96012,0.93543,0.97043,0.86443,0.79802,0.34941,1.00736,0.004852,0.004852,0.004852
54,9149.67,0.82694,0.46262,1.05605,0.96279,0.94095,0.97252,0.86867,0.794,0.34061,1.0043,0.004753,0.004753,0.004753
55,9322.86,0.82651,0.45904,1.06206,0.96569,0.9381,0.97039,0.86553,0.79556,0.34075,1.00541,0.004654,0.004654,0.004654
56,9496.42,0.82171,0.45242,1.05566,0.96734,0.94155,0.97459,0.87069,0.79213,0.3351,1.00045,0.004555,0.004555,0.004555
57,9669.77,0.82179,0.44971,1.05457,0.96711,0.94627,0.97518,0.86998,0.79275,0.33784,1.00458,0.004456,0.004456,0.004456
58,9844.81,0.81357,0.45019,1.05508,0.96861,0.93751,0.97293,0.87079,0.79071,0.33576,1.00254,0.004357,0.004357,0.004357
59,10014.2,0.81382,0.44317,1.05082,0.9763,0.93998,0.97367,0.8718,0.78953,0.33072,1.00077,0.004258,0.004258,0.004258
60,10184,0.81811,0.44492,1.04872,0.97228,0.94479,0.97621,0.8733,0.79039,0.33156,0.99893,0.004159,0.004159,0.004159
61,10353,0.81072,0.43935,1.0451,0.96941,0.94743,0.97492,0.87426,0.79317,0.32853,0.99886,0.00406,0.00406,0.00406
62,10521.4,0.80355,0.42993,1.04162,0.97447,0.94261,0.97655,0.87314,0.78788,0.32731,0.99798,0.003961,0.003961,0.003961
63,10692.9,0.80652,0.42952,1.0513,0.97121,0.94059,0.97585,0.87458,0.7885,0.32896,0.99944,0.003862,0.003862,0.003862
64,10863.5,0.81056,0.43174,1.04629,0.96336,0.94433,0.97418,0.87211,0.78952,0.32692,0.99803,0.003763,0.003763,0.003763
65,11033.8,0.79978,0.42767,1.04222,0.9677,0.94614,0.97321,0.87495,0.78452,0.3264,0.99705,0.003664,0.003664,0.003664
66,11203.2,0.79048,0.42124,1.03858,0.97095,0.94661,0.97432,0.87496,0.78618,0.32229,0.99523,0.003565,0.003565,0.003565
67,11371.8,0.79953,0.42212,1.03923,0.97115,0.94261,0.97616,0.87459,0.78636,0.3217,0.99525,0.003466,0.003466,0.003466
68,11540.9,0.79097,0.41337,1.03556,0.9722,0.94833,0.9763,0.87638,0.78423,0.32085,0.99259,0.003367,0.003367,0.003367
69,11709.9,0.79096,0.4151,1.03173,0.97984,0.94022,0.97732,0.87714,0.78346,0.31963,0.99311,0.003268,0.003268,0.003268
70,11878.9,0.78917,0.4116,1.03599,0.96857,0.94626,0.97789,0.88035,0.78229,0.31959,0.99227,0.003169,0.003169,0.003169
71,12050,0.78843,0.41164,1.03738,0.97512,0.94291,0.97816,0.88096,0.78226,0.32038,0.99506,0.00307,0.00307,0.00307
72,12221.6,0.78656,0.4058,1.03472,0.97139,0.94231,0.97535,0.87908,0.78225,0.3203,0.9947,0.002971,0.002971,0.002971
73,12390.9,0.77497,0.40235,1.03315,0.97604,0.94155,0.97757,0.8803,0.77979,0.31932,0.99373,0.002872,0.002872,0.002872
74,12559.4,0.77152,0.39914,1.03439,0.969,0.94343,0.97632,0.88085,0.7796,0.31817,0.99492,0.002773,0.002773,0.002773
75,12728.8,0.77537,0.40095,1.03435,0.96401,0.94364,0.97598,0.87942,0.78069,0.31753,0.99578,0.002674,0.002674,0.002674
76,12896.6,0.7752,0.39826,1.02842,0.9747,0.94002,0.97645,0.88027,0.77873,0.31516,0.99396,0.002575,0.002575,0.002575
77,13064.4,0.77156,0.39612,1.02642,0.97695,0.94047,0.97793,0.8815,0.77643,0.31336,0.99257,0.002476,0.002476,0.002476
78,13235.2,0.76919,0.39217,1.02914,0.97038,0.94375,0.97749,0.88132,0.77705,0.31506,0.99235,0.002377,0.002377,0.002377
79,13407.3,0.76418,0.38462,1.02622,0.96501,0.94528,0.97747,0.88098,0.78018,0.31357,0.99507,0.002278,0.002278,0.002278
80,13575.7,0.76667,0.38507,1.02589,0.9716,0.94358,0.97648,0.87952,0.77995,0.31469,0.99508,0.002179,0.002179,0.002179
81,13743.5,0.75924,0.38422,1.02403,0.96947,0.94402,0.97604,0.87943,0.78016,0.31525,0.99475,0.00208,0.00208,0.00208
82,13911.2,0.75919,0.3844,1.02093,0.97003,0.94207,0.97603,0.88003,0.7786,0.31415,0.99398,0.001981,0.001981,0.001981
83,14079.2,0.7566,0.37592,1.01392,0.97062,0.94228,0.97574,0.88073,0.77791,0.31407,0.99267,0.001882,0.001882,0.001882
